,ID,건물명,주소,판매 유형,건물 유형,보증금,월 납입 비용,관리비,면적(단위:평),주변 지하철역,준공일자,판매등록일자,구,동
7883,40030166,미등록 건물명,강남구 일원동 673-2,월세,원룸,160.0,160.0,0,9.0,"['대청역', '일원역', '대모산입구역']",20220126,2024-08-19,강남구,일원동
19730,40074733,미등록 건물명,강남구 삼성동 9-10,월세,원룸,1000.0,53.0,12,12.1,"['강남구청역', '선정릉역', '청담역']",1996년 08월 28일,2024-03-13,강남구,삼성동
22213,40084104,미등록 건물명,강남구 논현동 184-14,월세,빌라,10.0,10.0,10,15.0,"['신논현역', '논현역', '언주역']",19950322,2024-03-06,강남구,논현동
19754,40074808,미등록 건물명,강남구 대치동 914-6,전세,원룸,25000.0,0.0,10,11.1,"['한티역', '선릉역', '삼성역']",20020201,2024-03-06,강남구,대치동
22184,40084036,미등록 건물명,강남구 논현동 193-26,전세,빌라,30000.0,0.0,7,14.0,"['언주역', '신논현역', '학동역']",19950616,2024-03-12,강남구,논현동
22151,40083891,미등록 건물명,강남구 역삼동 655-19,전세,원룸,24300.0,0.0,10,10.2,"['언주역', '선정릉역', '역삼역']",2002.9.4,2024-03-11,강남구,역삼동
4134,40014490,미등록 건물명,강남구 역삼동 792-7,월세,빌라,30000.0,10.0,12,12.0,"['역삼역', '강남역', '양재역']",20180214,2024-03-16,강남구,역삼동
4213,40014763,강남IBC,강남구 역삼동 648-1,월세,오피스텔,120.0,120.0,10,8.2,"['강남역', '역삼역', '신논현역']",1987-01-08 ,2024-03-03,강남구,역삼동
22226,40084151,강남드림하이,강남구 세곡동 616,전세,오피스텔,35000.0,0.0,18,12.8,없음,20180427,2024-03-07,강남구,세곡동
18072,40069334,미등록 건물명,강남구 논현동 173-16,전세,원룸,26000.0,0.0,0,8.2,"['언주역', '학동역', '신논현역']",20190227,2024-03-08,강남구,논현동
11654,40045391,미등록 건물명,강남구 역삼동 624-41,월세,원룸,200.0,120.0,10,13.0,"['언주역', '신논현역', '역삼역']",19880419,2024-03-12,강남구,역삼동
1529,40005638,미등록 건물명,강남구 역삼동 774-42,월세,빌라,5000.0,180.0,10,8.6,"['한티역', '역삼역', '선릉역']",2021-11-09,2024-08-28,강남구,역삼동
1531,40005650,미등록 건물명,강남구 역삼동 661-4,월세,빌라,3000.0,190.0,10,8.9,"['언주역', '역삼역', '선정릉역']",	2016년 04월 20일,2024-02-29,강남구,역삼동
4261,40015007,라온프라이빗시티강남,강남구 세곡동 590,전세,오피스텔,40000.0,0.0,15,17.8,없음,2017년2월,2024-03-06,강남구,세곡동
22075,40083649,미등록 건물명,강남구 역삼동 691-17,월세,빌라,200.0,190.0,13,19.0,"['선정릉역', '선릉역', '언주역']",2003-05-14 ,2024-03-11,강남구,역삼동
18037,40069223,미등록 건물명,강남구 대치동 900-36,월세,빌라,5000.0,130.0,15,19.7,"['선릉역', '한티역', '삼성역']",1998.01.26,2024-03-06,강남구,대치동
18036,40069216,더스위트캐슬,강남구 역삼동 603-5,월세,오피스텔,1000.0,115.0,17,6.2,"['언주역', '신논현역', '역삼역']",20151102,2024-03-05,강남구,역삼동
14282,40055320,미등록 건물명,강남구 역삼동 608-3,월세,빌라,2000.0,124.0,0,12.3,"['언주역', '역삼역', '신논현역']",20020208,2024-03-04,강남구,역삼동
2860,40010171,미등록 건물명,강남구 역삼동 778-23,전세,빌라,30000.0,0.0,8,15.0,"['한티역', '역삼역', '매봉역']",20131030,2024-03-02,강남구,역삼동
17019,40065823,신논현마에스트로,강남구 역삼동 603-7,월세,오피스텔,1000.0,80.0,9,6.2,"['언주역', '신논현역', '역삼역']",20131213,2024-03-05,강남구,역삼동
22253,40084253,미등록 건물명,강남구 논현동 182-10,월세,원룸,50.0,50.0,5,8.0,"['신논현역', '논현역', '언주역']",1992.04.24,2024-03-20,강남구,논현동
11564,40044963,미등록 건물명,강남구 역삼동 657-40,전세,원룸,18500.0,0.0,0,9.0,"['언주역', '역삼역', '선정릉역']",20170710,2024-04-17,강남구,역삼동
